label,eval_protocol,status,lead1_rmse,short_rmse,mid_rmse,long_rmse,source
Official v2: Last value,rolling_origin_no_refit,main,0.0754568734871374,0.1143348907221784,0.1671291879478433,0.2157192645872846,experiment/artifacts/published/world_model_official_baselines_v2/20260425-paper-grade-controls-and-chronos-test-rows.csv
Official v2: Last value,non_overlap,main,0.0759869372274263,0.1134650115168926,0.1642960968568577,0.213394977607854,experiment/artifacts/published/world_model_official_baselines_v2/20260425-paper-grade-controls-and-chronos-test-rows.csv
Official v2: Seasonal,rolling_origin_no_refit,main,0.3217236396718774,0.3225730105749738,0.3257455496035673,0.3304028690176965,experiment/artifacts/published/world_model_official_baselines_v2/20260425-paper-grade-controls-and-chronos-test-rows.csv
Official v2: Seasonal,non_overlap,main,0.3191347700437106,0.3198069030705895,0.3252692576270476,0.328434222159486,experiment/artifacts/published/world_model_official_baselines_v2/20260425-paper-grade-controls-and-chronos-test-rows.csv
Official v2: Ridge residual B0,rolling_origin_no_refit,main,0.0718958986963795,0.1066163188779766,0.1540655904230628,0.1948186260999621,experiment/artifacts/published/world_model_official_baselines_v2/20260425-paper-grade-controls-and-chronos-test-rows.csv
Official v2: Ridge residual B0,non_overlap,main,0.0725811108875223,0.1061701475184747,0.1528573447097375,0.1931390210594868,experiment/artifacts/published/world_model_official_baselines_v2/20260425-paper-grade-controls-and-chronos-test-rows.csv
Official v2: Chronos-2 B2,non_overlap,main,0.0755484638316209,0.1110397697587723,0.1627459056187634,0.2098154937051698,experiment/artifacts/published/world_model_official_baselines_v2/20260425-paper-grade-controls-and-chronos-test-rows.csv
Official v2: Chronos-2 B2,rolling_origin_no_refit,main,0.0749788429589833,0.1116547292807472,0.1645184128956161,0.2130496434517501,experiment/artifacts/published/world_model_official_baselines_v2/20260425-paper-grade-controls-and-chronos-test-rows.csv
Official v2: iTransformer residual B0,rolling_origin_no_refit,main,0.0754568734871374,0.10711864773742252,0.15454806732298515,0.19593642600837521,experiment/artifacts/published/world_model_official_baselines_v2/20260425-paper-grade-trainable-statistics-summary.csv
Official v2: iTransformer residual B0,non_overlap,main,0.0759869372274263,0.10666630612918641,0.15375660761387222,0.19405345304816798,experiment/artifacts/published/world_model_official_baselines_v2/20260425-paper-grade-trainable-statistics-summary.csv
Official v2: MTGNN residual B1,rolling_origin_no_refit,main,0.0754568734871374,0.11341021386667101,0.16473018368402326,0.21107568891216816,experiment/artifacts/published/world_model_official_baselines_v2/20260425-paper-grade-trainable-statistics-summary.csv
Official v2: MTGNN residual B1,non_overlap,main,0.0759869372274263,0.11265737594262164,0.162470443298669,0.20889730458446393,experiment/artifacts/published/world_model_official_baselines_v2/20260425-paper-grade-trainable-statistics-summary.csv
Official v2: TimeXer residual B0,rolling_origin_no_refit,main,0.0754568734871374,0.10705512165496486,0.1539962755952549,0.19459298012610673,experiment/artifacts/published/world_model_official_baselines_v2/20260425-paper-grade-trainable-statistics-summary.csv
Official v2: TimeXer residual B0,non_overlap,main,0.0759869372274263,0.10672979177066341,0.1533042515574706,0.19324361152244662,experiment/artifacts/published/world_model_official_baselines_v2/20260425-paper-grade-trainable-statistics-summary.csv
Official v2: DGCRN rescue B2,rolling_origin_no_refit,appendix_diagnostic,0.07545687348713755,0.11004263600778001,0.1563472632591641,0.19559254160163353,experiment/artifacts/published/world_model_official_baselines_v2/20260425-paper-grade-dgcrn-rescue-statistics-summary.csv
Official v2: DGCRN rescue B2,non_overlap,appendix_diagnostic,0.07598693722742637,0.10970120759287072,0.15540401098111165,0.1934585027858041,experiment/artifacts/published/world_model_official_baselines_v2/20260425-paper-grade-dgcrn-rescue-statistics-summary.csv
Official v2: TFT-PF B2,rolling_origin_no_refit,appendix_diagnostic,0.07545197786488145,0.14912754455858915,0.20344472013195553,0.24944783560267952,experiment/artifacts/scratch/world_model_official_baselines_v2/tft_pf_test_rolling_shards_full_20260425/tft_pf_residual_kelmarsh_test_rolling_origin_no_refit_aggregate.json
